ID,max_int_x,max_int_y,var_x,var_y,r2_x,r2_y
112180.0,16372.237157955471,17174.026589754954,0.012308729680233542,1.801307188082357,0.2838633198894138,0.9744463728032395
150411.0,6108.958434897887,6176.558525264274,1.8064864115844037,1.78456382182935,0.9887557779420413,0.9914548735941768
159371.0,3967.896928034714,3782.1128164247893,1.9296116976123068,1.8937725343822442,0.9906677005177009,0.9858338626613241
175660.0,23941.081273279713,29316.334110482945,1.8765231149549952,0.007130157649961644,0.9922282142489679,0.2522327891411781
208655.0,1390.3368513661549,1486.7724570543671,1.782560786989662,0.012955676925349907,0.9922322093469289,0.29919420534499874
214729.0,1183.4291420655566,1171.765221319203,1.9389247697483332,1.9182389341940402,0.9825327072049698,0.9762177013889334
238668.0,4258.726375966099,4287.272369454558,1.967489639609812,2.2854667337722323,0.983015147475134,0.9759093395323396
271927.0,6191.7382821384645,6068.878315483081,0.005104395949523241,0.012176662321030169,0.2960989208538042,0.27998823997829925
281175.0,2768.951771752137,2901.444446936978,1.9057464036666016,1.851499533294274,0.9877834029427931,0.9911788429336982
372885.0,3443.5057481488075,3227.030344309282,1.859274134614995,1.9324813888511903,0.9903330401929674,0.9904049590965702
388118.0,2448.5646665970303,2511.165606055582,2.0246014398732624,1.9120459622973378,0.9880473545972458,0.9875138486830142
409181.0,1560.4643484921412,1507.3694637538822,1.8453602478762896,1.8867423376372687,0.9923934388039763,0.9908919111540326
414465.0,1822.822338791804,1842.0812871902688,2.0413323091111675,1.993330644254214,0.9890857902765147,0.9895382537472324
415192.0,13795.87181589606,8141.292310147402,0.011271889888620702,1.831599444667152,0.27530319639580203,0.9921054387221032
433337.0,27027.78291652238,28585.196497194174,2.089234011985193,2.0307746952604093,0.9917290883179496,0.9918395966316127
436587.0,35007.94420043949,35315.80995186279,4.4873390091721985,4.622072969130275,0.9961889613823343,0.9946305552072755
440812.0,27453.57113239113,27425.82901409061,1.9952365330504116,2.0376241816449783,0.9916664110139781,0.9918880183091917
484699.0,2366.108780572589,2526.3727565011986,1.9610170722944595,1.913335870513874,0.9899788409772359,0.9910234167210232
485924.0,1004.8570828162343,983.779746369264,2.0821704891026624,1.9297677886745879,0.9878329045520226,0.9895411661989341
518682.0,2020.327870719424,1952.0124793501977,1.9612252348805448,1.9585668441649624,0.9914112584305856,0.9908384795868945
532654.0,1252.8652131471308,974.6927618345045,0.013196805733032191,1.9955214573225872,0.06214450171418007,0.9873837128413631
597735.0,34263.91958533468,35702.63337400531,5.856164584296199,7.926265212649643,0.9915517281032553,0.9885573461662318
628421.0,6245.9891756046545,6700.468910585066,1.8786657890819138,1.7726600494084848,0.9907612432195837,0.9901904357166359
643194.0,3307.0892790471084,3418.667763334014,1.9189166474461499,1.8052659425443511,0.9899656293682129,0.9902719233236869
670741.0,17919.64679033194,17930.101741260678,0.0042427271839839565,0.009953921645001699,0.23355993371346306,0.28994791760247096
725619.0,1514.4385135677558,1533.4362228136413,2.00440445656004,1.8576317522677532,0.9834429913291012,0.9830927170279429
794540.0,3014.4128142024674,3274.2716824169393,1.9790966196670197,1.811283584120263,0.9881715453436873,0.9914869717564901
807859.0,4944.646289065178,5179.799275035541,2.067206402719001,1.8913043025397602,0.984430970391468,0.9861879262117657
858184.0,897.8310855001065,964.0029337697946,2.028479986056691,1.784054960519984,0.9702398442623237,0.9751176278996375
884339.0,4912.397346309222,5561.247656813028,2.2121934107106855,1.9295094097815209,0.98381529510057,0.9879856016965246
